Total allocated: 30.23 MB (403150 objects)
Total retained:  24.25 kB (124 objects)

allocated memory by gem
-----------------------------------
  18.39 MB  rubyXL-3.4.20
   7.03 MB  rubyzip-2.3.2
   4.68 MB  nokogiri-1.13.1
  69.90 kB  other
  65.72 kB  pathname

allocated memory by file
-----------------------------------
  15.29 MB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb
   6.57 MB  rubyzip-2.3.2/lib/zip/inflater.rb
   4.46 MB  nokogiri-1.13.1/lib/nokogiri/xml/node.rb
   3.07 MB  rubyXL-3.4.20/lib/rubyXL/objects/reference.rb
 304.68 kB  rubyzip-2.3.2/lib/zip/crypto/decrypted_io.rb
 216.69 kB  nokogiri-1.13.1/lib/nokogiri/xml/document.rb
  78.70 kB  rubyzip-2.3.2/lib/zip/input_stream.rb
  69.82 kB  fix_default_hash.rb
  65.72 kB  ruby/lib/pathname.rb
  33.32 kB  rubyzip-2.3.2/lib/zip/entry.rb
  22.63 kB  rubyzip-2.3.2/lib/zip/central_directory.rb
  10.00 kB  rubyXL-3.4.20/lib/rubyXL/objects/relationships.rb
   9.31 kB  rubyzip-2.3.2/lib/zip/entry_set.rb
   3.60 kB  rubyzip-2.3.2/lib/zip/ioextras/abstract_input_stream.rb
   2.58 kB  rubyXL-3.4.20/lib/rubyXL/objects/stylesheet.rb
   2.49 kB  rubyzip-2.3.2/lib/zip/dos_time.rb
   2.30 kB  rubyXL-3.4.20/lib/rubyXL/objects/font.rb
   2.09 kB  rubyXL-3.4.20/lib/rubyXL/objects/workbook.rb
   1.57 kB  rubyXL-3.4.20/lib/rubyXL/objects/fill.rb
   1.14 kB  rubyzip-2.3.2/lib/zip/file.rb
  800.00 B  rubyXL-3.4.20/lib/rubyXL/objects/container_nodes.rb
  720.00 B  rubyzip-2.3.2/lib/zip/extra_field.rb
  704.00 B  rubyXL-3.4.20/lib/rubyXL/objects/root.rb
  664.00 B  rubyXL-3.4.20/lib/rubyXL/worksheet.rb
  472.00 B  rubyXL-3.4.20/lib/rubyXL/objects/border.rb
  232.00 B  rubyXL-3.4.20/lib/rubyXL/objects/shared_strings.rb
   40.00 B  /private/tmp/rubyxl_memory_usage/operate.rb
   40.00 B  /private/tmp/rubyxl_memory_usage/profier.rb
   40.00 B  rubyXL-3.4.20/lib/rubyXL/objects/theme.rb

allocated memory by location
-----------------------------------
   6.31 MB  rubyzip-2.3.2/lib/zip/inflater.rb:19
   3.59 MB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:231
   3.21 MB  nokogiri-1.13.1/lib/nokogiri/xml/node.rb:516
   2.20 MB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:227
   1.86 MB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:152
   1.57 MB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:209
   1.32 MB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:246
   1.28 MB  rubyXL-3.4.20/lib/rubyXL/objects/reference.rb:90
   1.25 MB  nokogiri-1.13.1/lib/nokogiri/xml/node.rb:517
 992.50 kB  rubyXL-3.4.20/lib/rubyXL/objects/reference.rb:91
 885.89 kB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:124
 675.40 kB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:149
 625.03 kB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:141
 624.12 kB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:134
 480.16 kB  rubyXL-3.4.20/lib/rubyXL/objects/reference.rb:19
 382.50 kB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:125
 361.80 kB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:157
 345.04 kB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:177
 320.08 kB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:201
 255.54 kB  rubyzip-2.3.2/lib/zip/inflater.rb:33
 210.45 kB  nokogiri-1.13.1/lib/nokogiri/xml/document.rb:69
 206.98 kB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:242
 176.54 kB  rubyzip-2.3.2/lib/zip/crypto/decrypted_io.rb:19
 160.40 kB  rubyXL-3.4.20/lib/rubyXL/objects/ooxml_object.rb:130
 160.04 kB  rubyXL-3.4.20/lib/rubyXL/objects/reference.rb:24
 160.04 kB  rubyXL-3.4.20/lib/rubyXL/objects/reference.rb:25
 127.42 kB  rubyzip-2.3.2/lib/zip/crypto/decrypted_io.rb:37
